NumSubmissions,HighScores
3,0.9242
3,0.0
21,0.8786
2,0.945
17,0.9358
1,0.0
2,0.0
2,0.9259999999999999
114,0.9493
29,0.0
19,0.0
2,0.0
216,0.9503
2,0.0
15,0.9347
5,0.0
1,0.0
1,0.0
20,0.9412
324,0.9507
2,0.0
54,0.9435
3,0.0
82,0.0
1,0.0
1,0.0
1,0.0
4,0.0
1,0.0
9,0.9435
246,0.9486
2,0.945
18,0.9395
13,0.0
99,0.9415
6,0.0
58,0.9457
9,0.9452
2,0.0
13,0.064
1,0.9347
1,0.0
1,0.0
8,0.0
43,0.938
3,0.0
114,0.9477
68,0.9408
135,0.0
23,0.9453
6,0.9324
1,0.0
79,0.9388
12,0.9314
24,0.937
8,0.0
7,0.9324
3,0.937
24,0.0
120,0.9458
102,0.9202
24,0.0
53,0.0
145,0.9472
61,0.0
6,0.9347
170,0.9394
5,0.8856
13,0.8905
3,0.0
2,0.0
1,0.9147
40,0.9354
1,0.0
4,0.0
27,0.9443
2,0.9324
4,0.0
7,0.0
8,0.9361
1,0.0
31,0.9445
32,0.0
40,0.9446
9,0.0
2,0.0
25,0.0
5,0.9443
513,0.9469
2,0.9241
17,0.0
33,0.9383
36,0.9404
25,0.9354
179,0.9485
5,0.0
197,0.9473
34,0.9416
4,0.0
54,0.9466
24,0.2
1,0.0
37,0.9393
6,0.0
40,0.9425
103,0.9449
2,0.0
10,0.0
3,0.0
54,0.9464
102,0.9432
18,0.0
8,0.0
15,0.0
72,0.945
4,0.0
95,0.9412
17,0.0
113,0.9445
2,0.0
117,0.9515
1,0.0
11,0.9358
5,0.0
21,0.0
65,0.9196
7,0.0
115,0.9479
49,0.937
1,0.0
276,0.951
5,0.0
73,0.9478
74,0.943
3,0.0
12,0.9371
6,0.0
13,0.9429
188,0.948
50,0.9282
44,0.0
102,0.0
23,0.9115
113,0.9505
170,0.9323
57,0.9508
53,0.9274
9,0.9347
4,0.9358
38,0.0
235,0.9365
59,0.0
2,0.0
10,0.0
7,0.0
14,0.0
153,0.9484
105,0.9351
3,0.0
97,0.9407
14,0.9046
136,0.9435
1,0.0
24,0.0
12,0.0
8,0.0
56,0.9458
178,0.9514
6,0.9222
1,0.0
25,0.9440000000000001
8,0.0
121,0.9263
4,0.0
136,0.9451
6,0.8893
10,0.0
8,0.245
5,0.0
82,0.0
115,0.948
50,0.9422
2,0.0
2,0.0
84,0.9435
10,0.937
6,0.0
10,0.0
7,0.9347
8,0.0
6,0.0
3,0.0
1,0.0
342,0.9477
76,0.0
3,0.0
1,0.0
4,0.0003
7,0.0
5,0.5624
4,0.0
8,0.9420000000000001
297,0.948
60,0.9447
30,0.9385
2,0.8835
25,0.9407
2,0.9347
24,0.9295
2,0.0
1,0.0
17,0.937
65,0.0
8,0.0
2,0.0
2,0.0
2,0.0
13,0.0
3,0.0
40,0.9332
60,0.0
6,0.9334
95,0.9456
16,0.9406
2,0.0
2,0.0
70,0.9443
8,0.0
27,0.8606
65,0.9489
100,0.941
2,0.0
86,0.9441
5,0.0
1,0.0
51,0.0
16,0.0
130,0.9474
25,0.0
1,0.0
16,0.0
11,0.0
10,0.0
2,0.0
25,0.9391
1,0.7866
32,0.9448
6,0.0
29,0.0
1,0.0
158,0.9424
1,0.0
36,0.9301
37,0.9439
25,0.9358
12,0.9377
1,0.9443
18,0.0
21,0.0
1,0.0
12,0.0
137,0.9503
139,0.9453
17,0.9363
2,0.9334
1,0.0
3,0.9354
238,0.9386
13,0.0
35,0.9473
1,0.0
38,0.9221
15,0.0
15,0.9358
51,0.9442
1,0.0
2,0.0
10,0.0
9,0.9358
76,0.9267
114,0.9404
32,0.9436
52,0.0
168,0.0
131,0.9424
138,0.9452
41,0.9390000000000001
1,0.0
8,0.0
1,0.0
2,0.0
4,0.9358
4,0.0
1,0.0
1,0.0
129,0.9499
6,0.9352
11,0.0
131,0.9443
42,0.0
2,0.0
36,0.9435
63,0.9465
9,0.9459
87,0.9409
1,0.0
1,0.0
117,0.9416
4,0.937
3,0.9488
4,0.0
2,0.0
1,0.0
4,0.9255
30,0.0
30,0.0
11,0.0
84,0.9402
2,0.0
6,0.0
22,0.0
3,0.0
3,0.0
3,0.0
59,0.9471
2,0.0
3,0.0
1,0.0
3,0.9324
1,0.0
16,0.0977
13,0.0
4,0.0
19,0.9241
40,0.0
1,0.0
1,0.0
82,0.943
77,0.3076
125,0.9445
10,0.0
4,0.0
160,0.0
12,0.0
111,0.9439
22,0.0
8,0.0
5,0.9443
8,0.0
1,0.0
4,0.9347
25,0.9423
8,0.0
15,0.945
2,0.0
84,0.0
32,0.0
4,0.0
128,0.9203
51,0.9359
2,0.0
11,0.8434
7,0.0
13,0.9324
85,0.9057
190,0.946
24,0.0
8,0.0
12,0.0
23,0.943
3,0.0
1,0.937
55,0.9445
12,0.0
4,0.0
43,0.0
9,0.0
15,0.8657
1,0.0
1,0.0
15,0.9455
4,0.0
77,0.9391
44,0.0
1,0.0
4,0.0
41,0.0
27,0.9462
239,0.9481
2,0.0
3,0.0
32,0.0
1,0.7496
84,0.0
10,0.0
3,0.0
60,0.9389
18,0.9404
1,0.937
31,0.0
7,0.0
91,0.9465
21,0.9429
1,0.0
5,0.9425
1,0.0
9,0.0
41,0.945
3,0.9193
4,0.9215
1,0.0
2,0.9196
2,0.9358
48,0.9452
4,0.0
2,0.0
2,0.0
1,0.0
75,0.9479
19,0.9353
7,0.937
8,0.0
5,0.0
250,0.9475
164,0.9457
12,0.0
4,0.0
19,0.937
4,0.937
208,0.9481
122,0.9419
2,0.9288
3,0.9343
15,0.0731
1,0.0
51,0.9452
1,0.0
4,0.0
263,0.9437
8,0.9358
3,0.0
256,0.9496
15,0.9418
101,0.9425
1,0.0
43,0.9442
1,0.0
40,0.9386
8,0.0
7,0.945
1,0.0
31,0.9317
9,0.9324
7,0.0
2,0.0
13,0.9440000000000001
1,0.9347
2,0.0
5,0.0
4,0.9347
1,0.0
8,0.0
3,0.0
20,0.0
2,0.9337
1,0.0
232,0.9465
5,0.945
3,0.937
15,0.945
4,0.0
65,0.0
10,0.0
71,0.9469
16,0.0
40,0.937
1,0.0
13,0.0
13,0.0
71,0.9467
8,0.9421
40,0.0
5,0.7923
3,0.0
5,0.9468
36,0.9443
4,0.0
288,0.9469
45,0.945
35,0.9358
1,0.9358
17,0.9323
1,0.0
3,0.8845
12,0.0
1,0.937
8,0.0
17,0.0
18,0.0
2,0.9358
26,0.9334
4,0.0365
1,0.0
1,0.0
23,0.0
63,0.0
1,0.0
18,0.9324
192,0.9452
1,0.0
16,0.0
1,0.0
1,0.0
3,0.0
14,0.0
2,0.0
4,0.0
2,0.0
72,0.9486
37,0.9368
17,0.9341
22,0.0
86,0.9461
5,0.0
3,0.0
49,0.0
7,0.937
32,0.0
4,0.9347
3,0.0
1,0.0
7,0.0
7,0.0
12,0.9324
1,0.0
11,0.0
3,0.0
73,0.9457
51,0.7648
7,0.0
2,0.0
2,0.0
11,0.0
25,0.9486
6,0.0
10,0.941
9,0.0
2,0.0
9,0.945
4,0.945
4,0.0
33,0.9425
9,0.9358
23,0.9324
90,0.9456
363,0.9451
36,0.0
15,0.9456
