NumSubmissions,HighScores
51,0.9415
1,0.0
22,0.0
3,0.0
3,0.0
1,0.0
23,0.0
8,0.0
6,0.0
10,0.9305
2,0.0
12,0.0
7,0.9334
5,0.0182
1,0.9358
8,0.9347
1,0.0
55,0.9425
75,0.9337
40,0.9373
2,0.0
142,0.9499
10,0.937
1,0.0
177,0.9454
3,0.9347
55,0.0
1,0.0
1,0.0
1,0.9358
13,0.0
7,0.0227
13,0.9347
1,0.0
60,0.0
2,0.0
95,0.9455
16,0.0
91,0.0
15,0.9236
1,0.0
9,0.0
47,0.0
5,0.0
1,0.0
22,0.9462
55,0.0
205,0.9432
68,0.9419
2,0.0
291,0.9451
14,0.937
1,0.0
2,0.0
1,0.0
1,0.0
22,0.9437
4,0.0
4,0.0
15,0.0
4,0.9347
17,0.9387
85,0.9364
1,0.0
5,0.9324
4,0.0
9,0.0
43,0.0
17,0.0
7,0.0
1,0.0
2,0.0
5,0.9426
6,0.8952
6,0.0
46,0.9358
1,0.0
1,0.0
2,0.0
2,0.0
114,0.9461
69,0.9103
11,0.0
145,0.9495
1,0.0
16,0.9403
3,0.9375
1,0.0
2,0.0
3,0.9373
2,0.0
6,0.0
1,0.0
6,0.0
5,0.0
1,0.0
3,0.0
13,0.4406
336,0.9491
29,0.0
1,0.0
1,0.0
9,0.0
2,0.0
45,0.945
103,0.9516
20,0.937
50,0.9391
4,0.0
3,0.9324
54,0.0
6,0.0
1,0.0
23,0.0
4,0.0
304,0.9490000000000001
37,0.0
2,0.0
16,0.7913
3,0.0
6,0.0
151,0.9488
127,0.9470000000000001
7,0.9392
1,0.0
26,0.9358
2,0.0
4,0.9358
10,0.0
53,0.9424
71,0.0
1,0.0
6,0.9347
21,0.9347
5,0.0
23,0.937
14,0.0
41,0.0
6,0.9354
3,0.0
17,0.9487
1,0.0
30,0.9449
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
3,0.0
2,0.0
8,0.0
82,0.0
1,0.0
2,0.945
1,0.9347
1,0.0
4,0.8374
8,0.0
1,0.9193
1,0.0
8,0.9358
158,0.9513
1,0.0
5,0.7109
32,0.0
4,0.0
6,0.0
4,0.0
1,0.0
20,0.5819
2,0.9297
10,0.0
1,0.0
1,0.0
17,0.0
2,0.9377
90,0.9467
1,0.9354
37,0.0
13,0.0
17,0.937
4,0.0
1,0.0
5,0.945
124,0.9452
29,0.0
179,0.9445
4,0.0
5,0.0
2,0.0
9,0.9364
2,0.0
6,0.9347
3,0.9354
1,0.0
1,0.0
6,0.9317
6,0.0
6,0.0
67,0.9472
7,0.0287
18,0.0
1,0.0
17,0.4239
10,0.9472
2,0.0
1,0.0
7,0.0
79,0.9386
96,0.9474
1,0.0
77,0.9494
2,0.0
2,0.0
14,0.9324
1,0.9354
18,0.9449
83,0.0
13,0.937
1,0.9324
9,0.0
2,0.9358
1,0.0
33,0.937
3,0.9354
3,0.0
3,0.0
1,0.0
1,0.0
2,0.0
2,0.945
10,0.9368
39,0.9468
2,0.0
3,0.937
4,0.0
29,0.9407
15,0.9358
1,0.9347
1,0.0
135,0.9458
5,0.0
6,0.0
1,0.0
5,0.937
1,0.0
5,0.0
10,0.0
1,0.0
1,0.0
1,0.903
4,0.9334
1,0.0
12,0.9005
1,0.0
1,0.9334
8,0.0
113,0.9483
2,0.0
1,0.0
1,0.0
1,0.0
19,0.0
29,0.0
1,0.0
1,0.0
1,0.0
53,0.742
2,0.0
126,0.945
2,0.0
1,0.9358
8,0.0
3,0.9344
1,0.0
33,0.9413
4,0.8418
1,0.0
1,0.0
2,0.0
7,0.0436
8,0.9347
1,0.0
16,0.9358
1,0.0
1,0.9327
250,0.9454
4,0.879
240,0.9438
31,0.9361
11,0.9313
6,0.0
185,0.9475
63,0.9474
86,0.9470000000000001
7,0.0
3,0.9347
1,0.0
2,0.0
2,0.0
143,0.9466
14,0.9265
1,0.0
1,0.0
4,0.9284
47,0.9371
116,0.9393
10,0.9391
109,0.0
120,0.9468
1,0.0
1,0.9358
55,0.9422
9,0.9358
2,0.0
164,0.9467
8,0.0
2,0.9324
306,0.9457
2,0.0
11,0.8777
3,0.937
1,0.0
2,0.0
4,0.9413
11,0.9468
9,0.8688
1,0.0
8,0.0
20,0.9358
3,0.0
2,0.0
3,0.9347
1,0.0
1,0.0
1,0.0
9,0.9348
70,0.9347
1,0.0
1,0.0
31,0.0
1,0.0
57,0.9458
1,0.0
7,0.9284
3,0.0
39,0.9441
1,0.0
1,0.0
1,0.0
1,0.0
6,0.0
1,0.0
1,0.0
1,0.0
14,0.9431
2,0.0
1,0.0
28,0.9452
6,0.0
5,0.0
1,0.0
23,0.945
3,0.0
21,0.9408
1,0.0
39,0.9307
60,0.9446
2,0.0
1,0.0
54,0.9456
1,0.0
1,0.937
33,0.9436
34,0.0
14,0.9326
1,0.0
4,0.9334
1,0.9347
10,0.0
113,0.9443
1,0.9324
5,0.0
1,0.9354
2,0.0
1,0.8826
87,0.0
2,0.937
12,0.9448
21,0.9358
2,0.0
14,0.9358
1,0.9337
8,0.9358
29,0.9378
1,0.9324
29,0.0
2,0.9354
17,0.9347
20,0.9388
5,0.0
1,0.9324
4,0.0
64,0.9354
1,0.9354
1,0.9354
1,0.9358
69,0.9452
47,0.9496
29,0.9359999999999999
1,0.0
1,0.9358
3,0.9358
85,0.9466
197,0.9476
142,0.9417
19,0.0
27,0.9391
49,0.9358
66,0.9365
59,0.8994
92,0.9358
2,0.9429
1,0.8429
45,0.9455
96,0.9059999999999999
2,0.0
215,0.9495
63,0.9444
11,0.9277
3,0.945
79,0.9418
3,0.9347
1,0.8786
5,0.9422
2,0.937
1,0.0
85,0.9463
1,0.0
7,0.0
19,0.937
1,0.7501
5,0.8088
1,0.9347
2,0.0
49,0.9152
10,0.9357
2,0.9358
1,0.8239
75,0.9412
24,0.9443
22,0.0
64,0.937
2,0.0
3,0.9371
2,0.628
6,0.9347
5,0.937
54,0.9478
5,0.9358
7,0.0
3,0.9358
10,0.0
70,0.9368
2,0.0
70,0.9466
63,0.9467
1,0.0
2,0.0
1,0.0
3,0.9295
6,0.937
81,0.9393
1,0.937
17,0.9385
18,0.937
45,0.9478
10,0.3713
3,0.937
17,0.9426
9,0.9468
31,0.0
1,0.0
76,0.9483
1,0.0
100,0.9433
15,0.0
1,0.0
40,0.9462
7,0.937
1,0.9347
12,0.9334
1,0.937
2,0.0
16,0.945
1,0.7976
7,0.9358
7,0.0
2,0.937
1,0.937
1,0.937
1,0.937
1,0.937
1,0.937
2,0.9357
39,0.9427
15,0.0
3,0.9234
5,0.945
4,0.9388
13,0.9429
1,0.0
9,0.945
1,0.0
12,0.9334
14,0.9473
8,0.0
1,0.0
5,0.0
23,0.843
27,0.0
1,0.0
2,0.937
1,0.9347
4,0.0
1,0.937
1,0.9347
37,0.9429
93,0.937
18,0.9367
65,0.9346
1,0.9358
3,0.9358
3,0.0
3,0.937
5,0.0
5,0.0
1,0.0
2,0.945
1,0.937
3,0.9347
1,0.9324
1,0.0
13,0.0
16,0.0
24,0.0
132,0.9487
12,0.9245
5,0.0
1,0.0
54,0.94
21,0.0
4,0.9324
9,0.0
24,0.9451
20,0.0
2,0.9334
1,0.8436
11,0.9334
1,0.9358
3,0.0
1,0.9347
56,0.0
3,0.9334
57,0.9428
7,0.0
2,0.9268
1,0.9358
47,0.9463
69,0.9423
53,0.0
53,0.9461
65,0.9465
69,0.9425
1,0.9358
6,0.9373
8,0.9438
112,0.9358
2,0.9358
6,0.0
16,0.0
3,0.0
5,0.0
3,0.0
3,0.0
3,0.9284
56,0.0
3,0.9358
42,0.9438
72,0.9461
66,0.9442
64,0.9443
1,0.0
1,0.9358
19,0.0
57,0.9437
63,0.9451
7,0.0
5,0.9421
73,0.9478
57,0.9438
36,0.0
3,0.0
73,0.9455
72,0.9449
3,0.945
2,0.9334
3,0.9334
1,0.9334
9,0.9472
15,0.0
111,0.9322
1,0.0
5,0.9354
103,0.9366
1,0.0
1,0.0
3,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.8908
1,0.9127
3,0.94
1,0.9334
4,0.9334
6,0.9334
2,0.9213
2,0.9297
1,0.8898
39,0.9442
3,0.0
5,0.9354
4,0.9445
2,0.9347
5,0.9468
